TimeHorizon	96
QuadTherm	0.001404
LinearTherm	5.0859
ConstTherm	154.479
MinPower	39
MaxPower	105
InitUpDownTime	5
MinUpTime	3
MinDownTime	4
StartUpCost	141.662
PZERO		61.2402
DeltaRampUp	42
DeltaRampDown	34.2
BoundOn		46.8
BoundDown	39
Lambda
4.88825 4.9008 4.67769 5.66958 5.77464 6.01482 6.03296 5.94023 6.13586 5.58277 5.74209 6.55003 5.96152 4.93605 5.35093 5.72158 5.63275 5.60987 5.39758 6.1065 5.57683 5.37794 5.54581 5.576 4.88825 4.9008 4.67769 5.66958 5.77464 6.01482 6.03296 5.94023 6.13586 5.58277 5.74209 6.55003 5.96152 4.93605 5.35093 5.72158 5.63275 5.60987 5.39758 6.1065 5.57683 5.37794 5.54581 5.576 4.88825 4.9008 4.67769 5.66958 5.77464 6.01482 6.03296 5.94023 6.13586 5.58277 5.74209 6.55003 5.96152 4.93605 5.35093 5.72158 5.63275 5.60987 5.39758 6.1065 5.57683 5.37794 5.54581 5.576 4.88825 4.9008 4.67769 5.66958 5.77464 6.01482 6.03296 5.94023 6.13586 5.58277 5.74209 6.55003 5.96152 4.93605 5.35093 5.72158 5.63275 5.60987 5.39758 6.1065 5.57683 5.37794 5.54581 5.576 
Mu
0 0 0 0 0 0 0.038821 0.237141 0.914968 0 0.461688 1.45249 0.441342 0 0 0.844656 1.15308 0.936715 0 1.84003 0.757494 0.682965 0.410077 0.329549 0 0 0 0 0 0 0.038821 0.237141 0.914968 0 0.461688 1.45249 0.441342 0 0 0.844656 1.15308 0.936715 0 1.84003 0.757494 0.682965 0.410077 0.329549 0 0 0 0 0 0 0.038821 0.237141 0.914968 0 0.461688 1.45249 0.441342 0 0 0.844656 1.15308 0.936715 0 1.84003 0.757494 0.682965 0.410077 0.329549 0 0 0 0 0 0 0.038821 0.237141 0.914968 0 0.461688 1.45249 0.441342 0 0 0.844656 1.15308 0.936715 0 1.84003 0.757494 0.682965 0.410077 0.329549 
