time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9,load_user10,std_load_user1,std_load_user2,std_load_user3,std_load_user4,std_load_user5,std_load_user6,std_load_user7,std_load_user8,std_load_user9,std_load_user10,pv,std_pv,wind,std_wind
1,28.98623699,7.81112577,12.956621,3.567730751,31.3503305,17.63268156,14.42089656,14.26687764,8.694022859,3.024022109,2.164462811,1.834537192,3.886986301,0.130125423,2.991498867,2.429470004,1.766110544,1.995862239,2.608206858,0.907206633,0.0,0.0,0.1797,0.153991525
2,25.77207116,6.623790677,12.416978,3.591881875,31.37393768,15.63663873,13.24350253,12.12025316,8.356754731,3.098426871,2.03352025,1.951253698,3.7250934,0.117323609,2.511658832,2.187101327,1.655376602,1.993055894,2.507026419,0.929528061,0.0,0.0,0.1902,0.16665645
3,23.22927157,6.195030783,11.61270237,3.597919656,31.06704438,14.73463687,12.43240886,10.80696203,8.492598838,3.199404762,1.978442295,1.769594918,3.48381071,0.137865072,2.029440859,1.81348786,1.465444453,2.032324838,2.547779651,0.959821429,0.0,0.0,0.191466667,0.174924167
4,22.12990937,5.766270888,11.34806974,3.597919656,30.7758892,14.26326816,12.22745508,10.04219409,8.740865655,3.103741497,1.901453764,1.419569461,3.404420922,0.110537971,2.419796817,1.683379746,1.507625222,1.8357315,2.622259696,0.931122449,0.0,0.0,0.189833333,0.178536017
5,21.76485398,5.123131047,11.39476961,3.573768532,29.72930438,13.32635009,11.26373626,9.556962025,8.26775342,3.119685374,1.710844066,0.95759447,3.418430884,0.125252282,2.21709346,1.507623106,1.232182101,1.407034963,2.480326026,0.935905612,0.0,0.0,0.184466667,0.177868943
6,22.54951326,5.57937555,11.41033624,3.423242468,29.02108908,13.08775605,11.35967207,9.794303797,8.033539442,3.162202381,1.570771764,0.525216714,3.423100872,0.11343965,2.179503497,1.368893318,1.475717792,1.3266629,2.410061832,0.948660714,0.0,0.0,0.183433333,0.171895454
7,21.97885196,9.927440633,11.62308012,4.691236251,30.16997167,13.29725326,11.32042561,10.04219409,7.953906689,3.119685374,1.512959536,0.734176008,3.486924035,1.291649262,2.374839724,1.49062226,1.479970657,1.011646064,2.386172007,0.935905612,0.0,0.0,0.185566667,0.169252654
8,23.73279624,12.45602463,11.58675799,12.35144668,30.76015109,12.47672253,12.66788767,12.37869198,9.729248642,2.742346939,1.87142623,0.763397491,3.476027397,3.705434003,2.303989372,1.157797342,1.301015632,1.622515099,2.918774592,0.822704082,9.86e-05,0.000402578,0.1858,0.167545444
9,27.92463914,9.537159191,13.87505189,22.13683644,31.6572238,10.91713222,11.93092622,16.1128692,14.65711074,2.822066327,3.938357532,1.208008145,4.162515567,6.641050933,2.985035829,0.823635205,1.426226051,2.702867213,4.397133221,0.846619898,0.103247351,0.0762908,0.158733333,0.154796849
10,31.66750587,7.003078276,17.6577418,36.41481349,33.71104816,12.4127095,14.51247166,17.09915612,16.9805134,4.400510204,4.124930667,1.347903894,5.29732254,10.92444405,3.804724965,1.587101966,1.549400449,1.570742173,5.094154019,1.320153061,0.304721273,0.148919773,0.116766667,0.16697216
11,31.08006042,6.711741425,18.60730594,36.69655667,34.58451369,12.55819367,17.23792081,15.01054852,17.18193742,4.570578231,3.223851387,1.32220778,5.582191781,11.008967,3.664950423,1.959631173,2.360966004,2.477087447,5.154581225,1.371173469,0.411072204,0.17727223,0.147366667,0.215782535
12,32.01577711,7.354881266,19.00684932,35.05888331,36.54390935,12.80260708,19.02145474,14.05590717,18.27805883,4.900085034,3.475391629,2.025539718,5.702054795,10.51766499,4.368548558,2.219371602,2.501961955,2.873174989,5.48341765,1.47002551,0.543001826,0.189572565,0.168666667,0.229408886
13,33.14031554,8.520228672,17.94312993,25.7643472,38.69216242,14.70554004,20.39508111,17.80590717,13.9778902,5.102040816,3.238324566,2.556068602,5.382938979,7.729304161,4.518169379,2.430198101,2.697141528,3.228760894,4.19336706,1.530612245,0.529388945,0.203784132,0.174766667,0.232812294
14,30.21148036,8.16292876,17.31527605,19.25741272,35.44224111,13.11685289,19.34850863,16.32383966,16.94303916,4.809736395,3.066208794,2.349672145,5.194582814,5.777223816,4.177103332,2.750349105,3.616200164,3.278998813,5.082911748,1.442920918,0.534989186,0.202925319,0.186566667,0.251007444
15,31.78079893,8.058487247,17.3671648,27.81336681,33.90777463,12.30796089,17.00680272,16.35021097,16.3621885,4.953231293,2.608596438,1.977817418,5.21014944,8.344010043,4.134909716,2.29545351,2.508887064,3.106554134,4.908656549,1.485969388,0.451666914,0.192676982,0.186633333,0.251799247
16,31.94024841,7.783641161,16.42797841,29.66523195,32.70380862,12.77351024,16.36577708,15.07383966,14.48379239,4.979804422,2.732826953,2.335092348,4.928393524,8.899569584,3.726301579,2.152419881,2.067714274,3.091120121,4.345137718,1.493941327,0.317893856,0.154382999,0.172766667,0.232828438
17,31.83954347,7.321899736,15.64964716,29.50950502,31.75952156,13.18086592,16.20006977,14.54113924,11.4577478,4.947916667,3.049041097,2.196569921,4.694894147,8.852851506,3.280336388,2.731951829,2.327838831,2.942724084,3.43732434,1.484375,0.145505203,0.075976584,0.1545,0.20240021
18,33.40046996,7.728671944,16.93648817,30.16965567,34.12810828,13.79189944,17.93563579,15.55907173,11.17669102,4.389880952,3.938947142,2.318601583,5.080946451,9.0508967,4.107491216,2.465540461,2.446566995,2.938021489,3.353007307,1.316964286,0.001904113,0.003555957,0.162766667,0.188084296
19,40.39107083,13.17612137,17.23225405,27.69255141,39.06200818,18.01675978,21.51142508,21.43459916,12.58197489,4.411139456,4.028703768,2.681653631,5.169676214,8.307765423,5.057757516,3.24946505,2.33886607,3.880390422,3.774592468,1.323341837,0.0,0.0,0.1786,0.181787599
20,43.95350789,17.44173263,17.87567455,12.41810139,41.99716714,20.89734637,23.60893075,27.7056962,13.85141465,3.374787415,3.958009884,1.99995394,5.362702366,3.725430416,4.192998847,2.94321644,3.058739169,3.547914211,4.155424396,1.012436224,0.0,0.0,0.187,0.172830593
21,45.58996307,17.72757256,17.52801993,4.173063128,44.09820585,22.85265363,23.88365603,31.03902954,14.8725876,3.178146259,3.239868116,1.7643232,5.258405978,0.829941111,3.976129488,2.448580559,2.648418512,3.921850696,4.461776279,0.953443878,0.0,0.0,0.1908,0.164803833
22,43.99127224,13.94569041,17.56434205,3.640184122,39.26660371,21.8226257,21.31955346,27.57911392,12.52107926,3.273809524,3.144985504,1.875584202,5.269302615,0.148022266,2.663882732,2.284093501,2.191079883,3.525407847,3.756323777,0.982142857,0.0,0.0,0.19,0.15790438
23,40.4204431,10.36719437,15.55624741,3.62810856,37.29146994,20.86243017,17.08093494,21.12341772,10.61926176,3.316326531,2.218916864,1.671518062,4.666874222,0.111387622,3.379455225,2.010885331,1.79428859,2.608816056,3.185778527,0.994897959,0.0,0.0,0.188266667,0.156466794
24,33.72356495,9.317282322,14.41988377,3.603957437,34.60812087,19.24464618,14.89185418,17.01476793,9.766722878,3.199404762,2.144787562,1.20774936,4.325965131,0.113400814,2.415119955,2.039394001,1.682743754,2.206103666,2.930016863,0.959821429,0.0,0.0,0.1895,0.163437798
