time,buy_price,consumption_price,sell_price,penalty_price,reward_price,peak_categories,peak_tariff,peak_weight,energy_weight,time_res
1,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
2,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
3,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
4,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
5,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
6,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
7,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
8,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
9,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
10,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
11,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
12,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
13,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
14,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
15,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
16,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
17,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
18,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
19,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
20,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
21,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
22,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
23,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
24,0.16,0.02,0.05,0.05,0.108,A,30,1,365,1
